id_cliente,receita_total,numero_transacoes,id_produto,id,nome
109,4639.12,29,251,109.0,Abgail
110,12007.710000000001,32,148,110.0,Abgair
111,7474.28,29,727,111.0,Abhner
112,6163.27,24,112,112.0,Abi
113,6772.67,30,299,113.0,Abia
114,5224.06,22,3373,114.0,Abiail
115,5946.34,27,154,115.0,Abiana
116,6206.78,24,18,116.0,Abiane
117,7923.06,31,187,117.0,Abias
118,7681.02,30,566,118.0,Abiatar
119,7360.33,30,159,119.0,Abib
120,5363.55,27,31,120.0,Abida
121,10764.46,36,207,121.0,Abidan
122,7086.139999999999,31,6808,122.0,Abidao
123,7271.51,31,351,123.0,Abidenor
124,7443.48,27,264,124.0,Abiderman
125,8087.349999999999,30,518,125.0,Abidias
126,6597.89,25,1106,126.0,Abidiel
127,5077.5199999999995,23,126,127.0,Abidom
128,6641.03,32,576,128.0,Abidon
129,8129.11,32,49,129.0,Abidoral
130,5221.0,27,485,130.0,Abiel
131,8756.14,37,435,131.0,Abiezer
132,7641.72,32,556,132.0,Abigail
133,6325.72,31,181,133.0,Abigair
134,6349.54,30,17,134.0,Abigaiu
135,6647.99,21,646,135.0,Abigal
136,10285.51,33,1164,136.0,Abila
137,4532.24,19,115,137.0,Abilane
138,8205.89,36,620,138.0,Abilde
139,7060.6,33,213,139.0,Abile
140,6983.58,26,633,140.0,Abilene
141,9361.5,32,122,141.0,Abilia
142,7022.83,33,68,142.0,Abiliane
143,7643.26,34,35,143.0,Abilino
144,5492.7300000000005,21,125,144.0,Abilio
145,11896.51,39,242,145.0,Abilo
146,4666.01,24,378,146.0,Abimael
147,8615.61,36,324,147.0,Abimaele
148,5768.59,27,631,148.0,Abimar
149,7132.36,27,278,149.0,Abimeleque
150,7829.3099999999995,34,4564,150.0,Abina
151,7034.4800000000005,29,312,151.0,Abinada
152,6936.18,31,214,152.0,Abinadab
153,4249.83,21,565,153.0,Abinadabe
154,12052.19,43,273,154.0,Abinadabi
155,7546.43,26,134,155.0,Abinael
156,7971.64,29,276,156.0,Abinair
157,5080.16,31,5513,157.0,Abinaldo
158,9501.24,34,528,158.0,Abine
159,6946.37,24,247,159.0,Abinel
160,7776.34,37,3,160.0,Abiner
161,8895.59,31,7,161.0,Abinoa
162,7901.26,28,145,162.0,Abinoam
163,7399.62,34,91,163.0,Abinoan
164,7919.33,33,129,164.0,Abinoel
165,4073.9,23,273,165.0,Abio
166,6072.0599999999995,23,374,166.0,Abiqueila
167,6525.74,29,122,167.0,Abiran
168,9930.039999999999,39,61,168.0,Abisael
169,10729.539999999999,45,224,169.0,Abisague
170,7341.610000000001,29,332,170.0,Abisai
171,8591.28,29,87,171.0,Abisair
172,8287.07,34,68,172.0,Abisalao
173,7798.7,29,1246,173.0,Abismael
174,6817.08,33,61,174.0,Abison
175,9362.89,33,205,175.0,Abissalao
176,10065.8,31,284,176.0,Abiude
177,8646.93,35,1160,177.0,Abizael
178,9492.47,35,157,178.0,Abizai
179,5997.95,25,221,179.0,Abkeila
180,6387.8,27,2953,180.0,Abla
181,10516.289999999999,40,1936,181.0,Ablene
182,5487.34,29,179,182.0,Abmael
183,5148.38,23,50,183.0,Abmar
184,6238.66,35,90,184.0,Abmario
185,4077.2200000000003,25,280,185.0,Abna
186,6429.98,27,406,186.0,Abnadab
187,5161.5,23,869,187.0,Abnadabe
188,6799.3,34,316,188.0,Abnael
189,12744.18,41,16,189.0,Abne
190,6391.46,32,47,190.0,Abnel
191,10073.46,39,94,191.0,Abner
192,7509.53,36,471,192.0,Abni
193,7059.82,24,828,193.0,Abnildo
194,9662.5,34,43,194.0,Abnner
195,6233.26,28,14,195.0,Abnoam
196,4533.75,25,54,196.0,Abnoan
197,5795.06,26,13,197.0,Abnoel
198,8073.26,32,83,198.0,Abraa
199,5950.57,27,642,199.0,Abraam
200,8282.82,26,145,200.0,Abraao
201,5486.36,26,374,201.0,Abraham
202,7978.07,30,81,202.0,Abrahan
203,7088.29,28,470,203.0,Abrahao
204,10425.04,34,57,204.0,Abrahim
205,8744.91,35,7131,205.0,Abraim
206,4035.42,18,116,206.0,Abrain
207,10870.73,30,90,207.0,Abram
208,8917.94,35,38,208.0,Abramo
209,6535.18,31,111,209.0,Abrantes
210,9673.49,34,54,210.0,Abrao
211,9125.66,36,76,211.0,Abrelina
212,7477.41,33,168,212.0,Abrelino
213,9062.86,35,0,213.0,Abreu
214,8539.0,30,318,214.0,Abrilina
215,10230.51,36,119,215.0,Abrilino
216,8490.03,31,221,216.0,Absael
217,7262.06,30,9541,217.0,Absai
218,5334.69,23,159,218.0,Absair
219,6714.7,35,126,219.0,Absalao
220,8614.8,36,320,220.0,Absalon
221,7299.78,28,128,221.0,Absolon
222,6374.91,32,151,222.0,Abson
223,9319.79,42,102,223.0,Abud
224,6865.29,30,12,224.0,Abymael
225,7688.9400000000005,36,202,225.0,Acacia
226,8627.91,33,104,226.0,Acacio
227,8238.68,32,76,227.0,Acadio
228,6240.87,25,566,228.0,Acaio
229,6229.77,31,152,229.0,Acarcio
230,6797.389999999999,22,470,230.0,Acari
231,7239.64,23,706,231.0,Acary
232,8964.03,29,502,232.0,Acasio
233,6449.47,26,1089,233.0,Acassia
234,6514.51,22,430,234.0,Acassiano
235,7317.58,32,92,235.0,Acassio
236,7828.66,28,566,236.0,Acatia
237,8789.74,29,211,237.0,Acaua
238,7239.16,23,309,238.0,Acauan
239,6151.57,23,47,239.0,Acaz
240,8950.25,31,420,240.0,Accacio
241,9993.61,33,238,241.0,Acebias
242,6579.57,22,298,242.0,Acedina
243,10456.29,33,292,243.0,Acedir
244,8827.68,34,372,244.0,Aceir
245,5528.28,23,567,245.0,Acel
246,5373.45,22,316,246.0,Acela
247,7924.99,34,358,247.0,Aceli
248,10943.33,34,816,248.0,Acelia
249,10508.09,35,227,249.0,Acelina
250,7279.46,27,328,250.0,Aceline
251,8155.29,33,145,251.0,Acelino
252,7255.64,33,353,252.0,Acelio
253,7007.57,28,507,253.0,Acelir
254,9026.0,38,63,254.0,Acelmo
255,9767.29,37,113,255.0,Acelon
256,8341.91,30,288,256.0,Acelso
257,6130.11,32,125,257.0,Acemar
258,4663.39,18,1655,258.0,Acemir
259,6563.08,33,135,259.0,Acenate
260,9747.41,35,181,260.0,Acendina
261,7399.38,31,298,261.0,Acendino
262,8524.98,33,12,262.0,Aceni
263,7827.889999999999,27,310,263.0,Acenil
264,7261.9800000000005,30,201,264.0,Acenilda
265,7102.43,26,917,265.0,Acenilde
266,5943.9800000000005,25,809,266.0,Acenildo
267,6919.03,25,45,267.0,Acenilton
268,11807.37,41,270,268.0,Acenir
269,6678.92,32,5,269.0,Acenor
270,4137.93,23,331,270.0,Acer
271,8407.82,27,301,271.0,Acetides
272,7148.0,32,147,272.0,Achila
273,10883.17,39,510,273.0,Achiles
274,7123.48,31,338,274.0,Achiley
275,7628.5,29,89,275.0,Achilis
276,9732.64,37,145,276.0,Achille
277,7607.889999999999,26,247,277.0,Achilles
278,7924.39,30,50,278.0,Achley
279,6339.6,23,57,279.0,Achylles
280,6209.36,23,1,280.0,Aci
281,4457.47,22,528,281.0,Aciara
282,5880.25,26,63,282.0,Acidalha
283,7396.98,29,333,283.0,Acidalia
284,6105.57,20,3001,284.0,Acide
285,8825.56,31,771,285.0,Acidino
286,7734.129999999999,30,195,286.0,Acidio
287,9520.53,34,76,287.0,Aciel
288,8199.98,32,87,288.0,Aciele
289,9063.02,33,499,289.0,Aciene
290,6801.18,27,2632,290.0,Acilane
291,6419.84,25,999,291.0,Acilda
292,8315.06,33,2620,292.0,Acildo
293,7159.34,30,141,293.0,Acilea
294,7061.29,28,74,294.0,Acileia
295,11181.44,35,51,295.0,Acilene
296,5162.51,22,1358,296.0,Acilia
297,7523.82,26,668,297.0,Acilina
298,8401.18,28,51,298.0,Acilino
299,5410.15,24,276,299.0,Acilio
300,7339.33,29,402,300.0,Acilo
301,5668.56,22,262,301.0,Acilon
302,6465.0,28,103,302.0,Acimar
303,7314.63,27,144,303.0,Acindino
304,7484.22,26,379,304.0,Acineide
305,9616.86,31,196,305.0,Acinelson
306,5686.69,22,212,306.0,Acinete
307,3309.1400000000003,19,322,307.0,Acintia
308,8688.77,37,209,308.0,Acio
309,6081.58,36,7730,309.0,Aciol
310,6907.98,28,103,310.0,Acioli
311,8214.79,35,142,311.0,Aciolino
312,9498.26,30,2133,312.0,Acioly
313,9675.35,36,91,313.0,Aciomar
314,7965.19,31,63,314.0,Acione
315,7939.29,30,382,315.0,Acioneide
316,6184.4400000000005,19,66,316.0,Acioni
317,8041.7,34,176,317.0,Acir
318,8642.38,33,753,318.0,Acirema
319,6241.82,20,736,319.0,Acirene
320,9510.55,33,495,320.0,Acires
321,9912.44,31,353,321.0,Aciria
322,5657.0,21,146,322.0,Acirio
323,10791.619999999999,32,1427,323.0,Acirlene
324,5280.98,22,1654,324.0,Acisa
325,9585.630000000001,37,458,325.0,Acisio
326,9765.57,29,96,326.0,Acival
327,5546.36,25,584,327.0,Acivaldo
328,6905.47,23,264,328.0,Ackson
329,6813.78,26,92,329.0,Aclair
330,7678.389999999999,22,206,330.0,Aclecia
331,5772.91,25,267,331.0,Acleciana
332,9870.28,37,114,332.0,Acleciane
333,5531.24,25,133,333.0,Acleciano
334,4715.38,22,723,334.0,Aclecio
335,10148.57,36,4668,335.0,Acledison
336,10100.34,38,278,336.0,Acledson
337,11007.050000000001,34,3346,337.0,Aclei
338,6747.52,27,643,338.0,Acleia
339,3659.23,33,209,339.0,Acleide
340,11997.76,36,197,340.0,Acleilton
341,7803.900000000001,36,0,341.0,Acleiton
342,12332.91,37,203,342.0,Acles
343,4731.29,21,119,343.0,Aclesia
344,7048.55,31,176,344.0,Aclesio
345,8297.89,31,467,345.0,Aclides
346,4893.43,21,997,346.0,Aclimar
347,6025.99,27,299,347.0,Aclinio
348,7318.83,32,42,348.0,Aclis
349,9160.15,35,381,349.0,Aclisio
350,6809.01,30,24,350.0,Acresio
351,6558.99,27,745,351.0,Acricia
352,8000.49,33,187,352.0,Acricio
353,7698.5,33,862,353.0,Acrinaldo
354,4686.27,25,995,354.0,Acrisia
355,7721.84,30,81,355.0,Acrisio
356,6324.31,28,616,356.0,Acrizio
357,10389.89,32,532,357.0,Acsa
358,7612.3099999999995,33,324,358.0,Acsel
359,8530.15,31,8680,359.0,Acsia
360,5607.14,27,950,360.0,Acson
361,7846.53,35,50,361.0,Acssa
362,8987.16,36,512,362.0,Acton
363,9546.28,34,559,363.0,Acucena
364,7067.42,25,395,364.0,Acurcio
365,9347.8,29,359,365.0,Acy
366,4248.07,19,362,366.0,Acylino
367,7977.58,33,197,367.0,Acyr
368,6307.63,28,1147,368.0,Acza
369,5630.11,25,265,369.0,Ada
370,7500.85,32,58,370.0,Adabel
371,7987.31,33,376,371.0,Adaci
372,6037.04,24,649,372.0,Adacia
373,8790.49,26,1456,373.0,Adaciel
374,7574.54,25,510,374.0,Adacilda
375,8569.65,28,41,375.0,Adacildo
376,8808.39,30,124,376.0,Adacio
377,8582.48,29,1008,377.0,Adacir
378,8926.34,27,57,378.0,Adadilson
379,7166.77,32,3,379.0,Adael
380,7714.86,32,273,380.0,Adaelio
381,8990.69,32,6356,381.0,Adaelma
382,6884.71,30,536,382.0,Adaelson
383,9271.52,30,513,383.0,Adaelton
384,9089.73,32,360,384.0,Adaene
385,9860.74,34,118,385.0,Adaercio
386,6568.78,26,1,386.0,Adagil
387,8231.119999999999,32,191,387.0,Adagilda
388,6893.65,35,282,388.0,Adagilsa
389,11288.7,32,316,389.0,Adagilso
390,7523.39,24,32,390.0,Adagilson
391,8211.26,36,21,391.0,Adagilza
392,9881.81,32,104,392.0,Adagir
393,8581.35,28,20,393.0,Adagmar
394,7267.639999999999,33,578,394.0,Adagoberto
395,9756.0,32,156,395.0,Adaguimar
396,8603.32,38,101,396.0,Adah
397,9552.95,32,111,397.0,Adahil
398,6016.4800000000005,27,829,398.0,Adahir
399,6669.63,25,466,399.0,Adahyr
400,6923.32,30,22,400.0,Adai
401,9629.35,36,107,401.0,Adaia
402,11342.78,36,573,402.0,Adaiana
403,5925.2699999999995,33,375,403.0,Adaiane
404,4145.48,18,51,404.0,Adaias
405,6755.68,30,1912,405.0,Adaide
406,5887.79,26,507,406.0,Adaides
407,6071.54,27,360,407.0,Adaido
408,5259.44,26,115,408.0,Adaiene
409,5951.38,24,264,409.0,Adail
410,8385.4,30,286,410.0,Adaila
411,8042.08,31,170,411.0,Adailane
412,3828.2400000000002,19,72,412.0,Adailce
413,8870.17,31,313,413.0,Adailda
414,5871.91,27,326,414.0,Adailde
415,6614.93,24,139,415.0,Adaildes
416,5234.24,23,1266,416.0,Adaildo
417,6664.26,30,321,417.0,Adailio
418,7571.59,26,489,418.0,Adailma
419,8255.27,34,444,419.0,Adailo
420,9809.68,31,67,420.0,Adailsa
421,5849.58,28,616,421.0,Adailse
422,4883.96,26,423,422.0,Adailso
423,7816.639999999999,32,152,423.0,Adailsom
424,4854.12,18,166,424.0,Adailson
425,10467.49,40,356,425.0,Adailta
426,9187.25,27,108,426.0,Adailto
427,9386.369999999999,30,206,427.0,Adailtom
428,7799.589999999999,28,110,428.0,Adailton
429,8495.94,32,327,429.0,Adailva
430,5203.280000000001,22,649,430.0,Adailza
431,9757.41,28,164,431.0,Adailze
432,7660.42,26,24,432.0,Adailzo
433,8221.93,28,1415,433.0,Adaina
434,9663.58,32,439,434.0,Adaine
435,9139.96,33,520,435.0,Adair
436,7295.96,27,153,436.0,Adaira
437,6326.22,28,317,437.0,Adaires
438,7688.64,23,9329,438.0,Adairo
439,5212.72,26,621,439.0,Adairson
440,7940.45,30,484,440.0,Adairto
441,8430.210000000001,30,71,441.0,Adairton
442,6335.28,30,188,442.0,Adais
443,7161.98,33,33,443.0,Adaisa
444,6898.95,30,660,444.0,Adaise
445,7650.39,33,331,445.0,Adaiso
446,9206.14,33,5888,446.0,Adaito
447,10260.5,33,320,447.0,Adaiton
448,8751.789999999999,32,84,448.0,Adaiu
449,11116.119999999999,43,183,449.0,Adaiza
450,7354.54,33,464,450.0,Adaize
451,6140.02,23,1974,451.0,Adaizio
452,4327.79,24,348,452.0,Adaizo
453,7736.79,27,658,453.0,Adal
454,8041.14,29,1103,454.0,Adala
455,4783.38,23,264,455.0,Adalardo
456,5825.98,26,79,456.0,Adalber
457,9887.69,30,203,457.0,Adalberio
458,6134.09,28,995,458.0,Adalberon
459,7433.84,33,419,459.0,Adalbert
460,8134.49,34,987,460.0,Adalberta
461,10307.56,40,9854,461.0,Adalberto
462,8994.6,30,83,462.0,Adalbeto
463,13421.07,42,375,463.0,Adalci
464,6393.31,33,60,464.0,Adalcides
465,7078.53,25,2132,465.0,Adalcilene
466,5643.72,28,129,466.0,Adalcimar
467,7726.91,24,548,467.0,Adalcina
468,7758.2,39,144,468.0,Adalcinda
469,9192.039999999999,31,69,469.0,Adalcindo
470,10140.8,32,292,470.0,Adalcino
471,3600.09,20,274,471.0,Adalcio
472,9685.38,39,9,472.0,Adalcir
473,6899.75,31,39,473.0,Adalcira
474,4767.9400000000005,26,68,474.0,Adalcy
475,10229.880000000001,37,82,475.0,Adaldo
476,6182.11,28,119,476.0,Adalea
477,5544.61,23,71,477.0,Adalecio
478,10308.300000000001,39,80,478.0,Adaleia
479,9112.44,32,143,479.0,Adalena
480,6167.5599999999995,24,276,480.0,Adalene
481,8068.6900000000005,26,2031,481.0,Adalete
482,4265.14,22,118,482.0,Adalex
483,8144.47,30,935,483.0,Adalfo
484,9127.91,33,40,484.0,Adalfran
485,11072.08,43,146,485.0,Adalfredo
486,7147.55,30,392,486.0,Adalgilza
487,8989.77,30,103,487.0,Adalgina
488,9549.81,37,89,488.0,Adalgir
489,4919.76,30,107,489.0,Adalgisa
490,7836.35,30,379,490.0,Adalgisia
491,9644.71,30,235,491.0,Adalgisio
492,6499.7,23,749,492.0,Adalgiso
493,7486.36,25,7620,493.0,Adalgiza
494,7769.59,29,466,494.0,Adalgizia
495,8233.14,31,73,495.0,Adalgizio
496,10289.27,39,10,496.0,Adalgizo
497,9145.46,31,17,497.0,Adalha
498,6701.82,29,201,498.0,Adali
499,6117.47,26,110,499.0,Adalia
500,9310.6,30,23,500.0,Adaliana
501,6059.07,28,217,501.0,Adaliane
502,7202.2,26,327,502.0,Adalibio
503,7822.650000000001,34,213,503.0,Adalice
504,10362.57,40,156,504.0,Adalici
505,9648.39,30,330,505.0,Adalicia
506,11342.539999999999,42,279,506.0,Adalicio
507,5342.74,23,7,507.0,Adalida
508,7287.39,32,199,508.0,Adaliene
509,8656.31,29,132,509.0,Adaline
510,8374.97,30,1050,510.0,Adalio
511,9371.92,26,677,511.0,Adalipio
512,5503.13,22,567,512.0,Adalir
513,2549.2799999999997,15,252,513.0,Adalira
514,7577.91,32,178,514.0,Adaliria
515,8817.5,31,70,515.0,Adalirio
516,5405.73,23,1094,516.0,Adalis
517,5706.82,25,244,517.0,Adalisa
518,8164.36,25,284,518.0,Adalisio
519,5410.25,28,620,519.0,Adalivia
520,6048.43,28,60,520.0,Adaliza
521,6568.17,20,166,521.0,Adalma
522,3562.21,19,673,522.0,Adalmar
523,6643.41,28,448,523.0,Adalmario
524,7672.65,28,1706,524.0,Adalmi
525,5569.2,30,359,525.0,Adalmir
526,4634.44,25,261,526.0,Adalmira
527,4837.4,24,110,527.0,Adalmiro
528,6201.47,23,807,528.0,Adalmo
529,9436.29,32,161,529.0,Adalri
530,5172.36,27,8519,530.0,Adalrir
531,9801.35,33,4820,531.0,Adalso
532,7272.41,33,1136,532.0,Adalson
533,5420.25,24,438,533.0,Adalta
534,9193.98,39,32,534.0,Adaltino
535,9210.26,33,125,535.0,Adaltiva
536,9181.5,28,149,536.0,Adaltivo
537,5391.66,29,112,537.0,Adalto
538,6823.8099999999995,28,257,538.0,Adaltom
539,5812.59,24,445,539.0,Adalton
540,9669.39,34,252,540.0,Adaltro
541,7613.2699999999995,28,105,541.0,Adalucia
542,6417.36,30,1203,542.0,Adalva
543,8630.85,39,10,543.0,Adalvan
544,4694.98,18,112,544.0,Adalvani
545,4465.15,27,221,545.0,Adalvanir
546,6530.57,29,278,546.0,Adalvina
547,5866.83,23,129,547.0,Adalvino
548,7831.8099999999995,31,501,548.0,Adalvir
549,7337.99,31,89,549.0,Adalvo
550,8592.01,28,17,550.0,Adalzina
551,7556.53,34,62,551.0,Adalzira
552,3502.42,26,15,552.0,Adalziro
553,7391.41,29,829,553.0,Adalzisa
554,4674.46,26,1178,554.0,Adalziza
555,7271.42,30,193,555.0,Adalzizo
556,8937.22,32,2,556.0,Adam
557,5893.32,31,600,557.0,Adama
558,11352.24,35,38,558.0,Adamar
559,9929.52,28,327,559.0,Adamara
560,6998.21,29,608,560.0,Adamares
561,7037.97,25,185,561.0,Adamario
562,6051.639999999999,26,448,562.0,Adamaris
563,10038.91,38,155,563.0,Adamasio
564,9706.02,34,767,564.0,Adamastor
565,5459.97,23,88,565.0,Adamazio
566,10186.24,40,147,566.0,Adame
567,7316.28,24,227,567.0,Adames
568,6285.29,23,394,568.0,Adami
569,5161.5599999999995,25,347,569.0,Adamil
570,9233.58,31,263,570.0,Adamilson
571,10114.52,31,141,571.0,Adamilton
572,4570.87,26,144,572.0,Adamir
573,11919.39,40,836,573.0,Adamires
574,5490.28,25,9,574.0,Adamiro
575,9340.75,27,65,575.0,Adamis
576,6445.52,24,608,576.0,Adamo
577,6530.0599999999995,33,72,577.0,Adamor
578,5748.26,31,22,578.0,Adamos
579,6805.58,31,306,579.0,Adams
580,5466.08,21,941,580.0,Adan
581,6319.78,27,132,581.0,Adana
582,5714.849999999999,28,488,582.0,Adanair
583,5725.09,27,830,583.0,Adane
584,8567.91,28,203,584.0,Adaneuza
585,5353.53,22,150,585.0,Adani
586,8442.47,37,307,586.0,Adania
587,3339.72,12,1034,587.0,Adaniel
588,6596.87,31,749,588.0,Adaniela
589,12242.85,37,377,589.0,Adanila
590,6534.01,34,69,590.0,Adanildo
591,8629.89,42,209,591.0,Adanilo
592,8553.67,33,26,592.0,Adanilson
593,9750.68,33,335,593.0,Adanilton
594,9456.66,29,186,594.0,Adanilza
595,9963.06,38,490,595.0,Adanir
596,7941.51,32,163,596.0,Adann
597,4541.82,21,999,597.0,Adano
598,8203.95,37,258,598.0,Adans
599,6763.8099999999995,20,1201,599.0,Adanubia
600,6221.4,26,818,600.0,Adany
601,5215.07,21,995,601.0,Adao
602,9283.63,32,300,602.0,Adaozinho
603,8428.74,33,29,603.0,Adar
604,8902.91,26,171,604.0,Adara
605,6975.24,32,103,605.0,Adarci
606,5847.63,25,305,606.0,Adarcino
607,7332.09,30,126,607.0,Adarcy
608,5519.35,28,67,608.0,Adari
609,7032.389999999999,31,1270,609.0,Adaria
610,8372.06,25,260,610.0,Adarias
611,7320.469999999999,35,112,611.0,Adarico
612,2995.73,17,202,612.0,Adarildo
613,9130.88,28,897,613.0,Adarilson
614,8100.48,35,331,614.0,Adario
615,8592.05,28,20,615.0,Adarlan
616,8818.61,33,208,616.0,Adarlei
617,9120.539999999999,32,330,617.0,Adarlene
618,4980.53,24,163,618.0,Adarlete
619,4124.11,19,1037,619.0,Adarli
620,8924.2,35,842,620.0,Adas
621,6105.38,28,75,621.0,Adasio
622,10482.72,34,129,622.0,Adassa
623,7807.82,20,926,623.0,Adativa
624,6349.02,28,0,624.0,Adativo
625,9436.47,35,45,625.0,Adauan
626,7583.88,30,1041,626.0,Adauberto
627,6944.05,33,94,627.0,Adaucto
628,8483.47,31,206,628.0,Adaulto
629,7944.07,27,1100,629.0,Adaura
630,8209.9,27,20,630.0,Adauri
631,6461.2300000000005,24,197,631.0,Adaury
632,8395.57,33,192,632.0,Adauta
633,8942.86,33,291,633.0,Adauto
634,6142.49,27,320,634.0,Adauton
635,7520.35,31,677,635.0,Adavi
636,10133.94,32,515,636.0,Adavilson
637,8533.11,32,1503,637.0,Adavio
638,7654.98,31,25,638.0,Adayana
639,5960.69,22,910,639.0,Adayane
640,7723.45,30,60,640.0,Adayl
641,8340.74,36,672,641.0,Adaylton
642,7666.04,40,220,642.0,Adayr
643,4844.28,20,199,643.0,Adaziza
644,11441.7,40,117,644.0,Adbaldo
645,5663.2,24,3721,645.0,Adbeel
646,10037.31,35,29,646.0,Adbiel
647,5499.43,25,103,647.0,Adcarlos
648,8790.93,28,256,648.0,Adcelia
649,6568.72,26,6392,649.0,Adcleia
650,4989.63,25,420,650.0,Adda
651,3835.82,19,738,651.0,Addam
652,7348.8,32,345,652.0,Addan
653,5836.24,27,105,653.0,Addison
654,3442.86,21,1778,654.0,Addson
655,7402.95,32,369,655.0,Ade
656,9011.08,27,771,656.0,Adealdo
657,7769.51,26,259,657.0,Adean
658,5896.96,28,6013,658.0,Adeana
659,6101.45,27,644,659.0,Adeane
660,6976.03,30,281,660.0,Adeangela
661,7928.400000000001,35,127,661.0,Adear
662,8474.41,27,481,662.0,Adebal
663,9222.75,32,45,663.0,Adebaldo
664,9160.35,34,289,664.0,Adebora
665,9223.75,38,33,665.0,Adebrair
666,10528.39,35,117,666.0,Adecarlos
667,9829.89,38,137,667.0,Adeci
668,10423.4,42,298,668.0,Adecia
